"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"223093e66c780725f6ebff7ed2f72e70","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","NO VALIDO","NO PROCESADO","","Calliandra houstoniana","Sousa, Ricker & Hernández, 2003","1922","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Calliandra","","houstoniana","","(Mill.) Standl., 1922","aceptado"
"9c30e3aa3ba29df48cfc66a28d04635d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","VALIDO","NO PROCESADO","","Eugenia capuli","Sánchez-Chávez & Zamudio Ruiz, 2017","1841","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Eugenia","","capuli","","(Schltdl. & Cham.) Hook. & Arn., 1841","aceptado"
"0b427b4447758581c89e81051dfdb6f5","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Begonia gracilis","Golding & Wasshausen, 2002","1825","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Begoniaceae","Begonia","","gracilis","","Kunth, 1825","aceptado"
"5ece3423e61d533c0c6edf131403a743","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Urera caracasana","Vascular Plants of the Americas, 2024","1859","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urera","","caracasana","","(Jacq.) Gaudich. ex Griseb., 1859","aceptado"
"6cf302588287870d9da5adb125cfb107","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Malaxis salazarii","Soto Arenas, Hágsater, Jiménez Machorro, Salazar Chávez, Solano Gómez, Flores González & Ruiz Contreras, 2007","1990","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Malaxis","","salazarii","","Catling, 1990","sinónimo"
"8da887249875f169069205c1fe325bb8","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"05a0224b0d9d1e2f5d89e195bf3aea05","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"ffcbe218da4ba2a6af13400d931cf766","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Xylosma flexuosa","Jiménez Ramírez & Vega Flores, 2011","1879","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Xylosma","","flexuosa","","(Kunth) Hemsl., 1879","aceptado"
"01a699ea22dc96aa2c7efa13baab9a3b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","VALIDO","","Belotia mexicana","Villaseñor, Ortiz, Redonda-Martínez & Gual, 2010","1890","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Belotia","","mexicana","","(DC.) K. Schum., 1890","sinónimo"
"3da0f7b1f786ea15cb7fa2d25d56a085","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
